section	effect	variant	group	backgroundGroup	sReal.U	sReal.Nu	sReal.Xu	sReal.A	sReal.Na	sReal.Xa	sReal.RaR	sReal.ENa	sReal.delta	sReal.AD	bcAD.left95	bcAD.right95	esAD.pvOne	esAD.z	esAD.pvOneAn	sReal.IR	bcIR.left95	bcIR.right95
ALL EVENTS	all	deletion	SSC affected	SSC unaffected	1874	55	1874	1869	102	1869	0.0545746388443	54.8532550694	47.14674493062967	2.5225652718367937	1.3274391877112721	3.7816402478056617	0.0	3.6477154806905836	0.00013229119607217083	46.2222989516	27.729338003858256	60.9299728049728
ALL EVENTS	all	deletion	AGRE affected	SSC unaffected	1874	55	1874	1107	36	1107	0.0325203252033	32.4893276414	3.5106723585912505	0.31713390773182026	-0.9391477008869277	1.6006059739221048	0.344	0.5145139976089279	0.3034463382499659	9.75186766275	-36.03592909148465	39.65714285714286
ALL EVENTS	all	deletion	SSC affected	AGRE affected	1107	36	1107	1869	102	1869	0.0545746388443	60.7804878049	41.21951219512194	2.2054313641049728	0.6635280461870958	3.7324926234570253	0.001	2.843407390879084	0.002231698923186949	40.4112864658	13.855569155446751	61.24223602484472
ALL EVENTS	all	duplication	SSC affected	SSC unaffected	1874	31	1874	1869	55	1869	0.0294275013376	30.9172892209	24.082710779082177	1.2885345521178264	0.3705628249455389	2.249483146580772	0.005	2.584168346584765	0.004880706763749986	43.7867468711	14.41993903532366	64.83128012854849
ALL EVENTS	all	duplication	AGRE affected	SSC unaffected	1874	31	1874	1107	20	1107	0.0180668473351	18.3121664888	1.6878335112059766	0.1524691518704586	-0.8211701832665304	1.1285866707312426	0.439	0.27279701495781183	0.3925046271437658	8.43916755603	-73.01445318017045	46.8367889420521
ALL EVENTS	all	duplication	SSC affected	AGRE affected	1107	20	1107	1869	55	1869	0.0294275013376	33.7669376694	21.233062330623305	1.136065400247368	0.05732733320289559	2.274739121392658	0.03	1.8938368609528837	0.029123333643837825	38.6055678739	2.002522378418274	66.2568306010929
ALL EVENTS	all	cnvs	SSC affected	SSC unaffected	1874	86	1874	1869	157	1869	0.0840021401819	85.7705442903	71.22945570971184	3.81109982395462	2.15748537951567	5.466360965414452	0.0	4.588213639100647	2.2352750466844966e-06	45.3690800699	29.15723513498592	57.90442376222116
ALL EVENTS	all	cnvs	AGRE affected	SSC unaffected	1874	86	1874	1107	56	1107	0.0505871725384	50.8014941302	5.1985058697972235	0.46960305960227855	-1.1536175604423746	2.130004228272004	0.307	0.567787226155758	0.2850897272786742	9.28304619607	-29.2926605060719	34.43293347873501
ALL EVENTS	all	cnvs	SSC affected	AGRE affected	1107	56	1107	1869	157	1869	0.0840021401819	94.5474254743	62.45257452574525	3.3414967643523408	1.6722824079743683	5.1203895134751605	0.0	3.4350626389438044	0.00029620843831466696	39.778709889	21.388885693580118	56.310357815442565
ALL EVENTS	coding	deletion	SSC affected	SSC unaffected	1874	22	1874	1869	64	1869	0.0342429106474	21.9413020277	42.05869797225186	2.2503316197031498	1.3594093075181382	3.2958015212665988	0.0	4.386358075019937	5.763215680114973e-06	65.7167155816	47.701845391942435	80.06859509480361
