geneSet	eventType	regionType	geneSetGeneNumber	sReal.Cu	sReal.Su	sReal.Nu	sReal.Ca	sReal.Sa	sReal.Na	sReal.RSa	sReal.ESa	sReal.delta	sReal.AD	bcAD.left95	bcAD.right95	esAD.pvOne	esAD.z	esAD.pvOneAn	sReal.PC	bcPC.left95	bcPC.right95
all genes	indel	inter-coding_intronic	19512	1874	3916	5859	1869	3932	5768	2.1037988229	3855.17801673	76.82198327359629	4.1103254828034395	-7.520586421943473	15.846766138712562	0.252	0.6571375985932971	0.25554622251768144	1.9537635624007195	-3.657729371461962	7.35291049775275
all genes	indel	peripheral	19512	1874	799	5859	1869	781	5768	0.417870518994	786.590203106	-5.590203106332183	-0.29910128979840467	-5.06035665574209	4.113535004075417	0.554	-0.14293227322126742	0.5568281650474897	-0.7157750456251194	-12.849859506221877	9.344063104236241
all genes	sub	inter-coding_intronic	19512	1874	37814	58274	1869	38057	59340	20.3622257892	38505.7274256	-448.72742561005	-24.00895803157036	-59.039706479617266	14.995048897264871	0.902	-1.2418540510361826	0.8928547920404036	-1.1790930068319887	-2.902801133198518	0.729723126308078
all genes	sub	peripheral	19512	1874	6748	58274	1869	6903	59340	3.69341894061	6871.44043656	31.559563441671344	1.6885801734441597	-11.119709551452969	14.949001011754596	0.41	0.22765094423226928	0.40995880592836015	0.4571862008064804	-3.0826307034208478	3.9740280943063375
autism LGD	indel	inter-coding_intronic	748	1874	297	5859	1869	345	5768	0.184590690209	292.387096774	52.61290322580646	2.8150296000966537	-0.1554520208395494	5.545061845921903	0.026	1.8777810709225453	0.030205560399926615	15.25011687704535	-0.950624532401449	28.016350901366405
autism LGD	indel	peripheral	748	1874	68	5859	1869	73	5768	0.0390583199572	66.9438470729	6.056152927120678	0.3240317242975216	-1.0058644536652832	1.6512242302533824	0.322	0.496178376651113	0.3098842827998727	8.296099900165313	-30.428093587671455	36.565478421828544
autism LGD	sub	inter-coding_intronic	748	1874	3023	58274	1869	2965	59340	1.58640984484	3078.29941312	-113.29941311734228	-6.062033874657158	-14.369557452364244	2.8806528404428025	0.916	-1.3789030349737665	0.9160376738447921	-3.821228098392657	-9.257180277103263	1.763578057926259
autism LGD	sub	peripheral	748	1874	532	58274	1869	508	59340	0.271803103264	541.73181865	-33.731818649826664	-1.8048057062507579	-5.247652274198807	1.9567675889955933	0.844	-1.0186107511746965	0.845806100926805	-6.640121781461942	-20.402682849181122	6.834143013339607
autism missense	indel	inter-coding_intronic	3560	1874	1153	5859	1869	1171	5768	0.626538255752	1135.09199522	35.908004778972554	1.9212415612077343	-3.3758424794836137	7.327983242427123	0.248	0.6769533747484159	0.24921776871774248	3.0664393491863837	-5.641880321693023	11.32426529189184
autism missense	indel	peripheral	3560	1874	212	5859	1869	195	5768	0.104333868379	208.707287933	-13.707287933094392	-0.7334022436112569	-3.004614521304705	1.4525438565452369	0.75	-0.6898598235994933	0.7548588282963304	-7.029378427227893	-32.118966699242954	12.225888865233133
