group	backgroundGroup	effect	Cu	Su	Nu	Ca	Sa	Na	RSa	ESa	delta	AD	AD.left95	AD.right95	AD.pvOne	AD.z	AD.pvOneAn	PC	PC.left95	PC.right95
SSC affected	SSC unaffected	synonymous	1874	484	484	1869	499	499	0.266987693954	499.0	0.0	0.0	0.0	0.0	1.0	nan	nan	0.0	0.0	0.0
SSC affected	SSC unaffected	LGD	1874	157	484	1869	283	499	0.151417870519	161.865702479	121.13429752066116	6.481235822400277	3.854216209550987	8.797197707214993	0.0	4.801076443998365	7.890750334134186e-07	42.803638699880274	27.757847533632287	54.27171443431606
SSC affected	SSC unaffected	nonsense	1874	54	484	1869	100	499	0.0535045478866	55.673553719	44.32644628099173	2.3716664676828105	0.9509971509971509	3.7390613469991987	0.0	3.2662973031136238	0.000544818922992822	44.32644628099173	19.749643676024046	61.33897569444444
SSC affected	SSC unaffected	splice-site	1874	26	484	1869	55	499	0.0294275013376	26.805785124	28.194214876033058	1.5085187199589651	0.43379604911906033	2.488544199524286	0.002	3.031098757917052	0.001218327679436532	51.26220886551465	19.102682701202582	70.81382385730211
SSC affected	SSC unaffected	frame-shift	1874	77	484	1869	128	499	0.0684858212948	79.3863636364	48.61363636363636	2.6010506347585	0.9567472446049826	4.261373223988391	0.001	3.1614309325878835	0.0007849802263252405	37.97940340909091	15.910808767951611	56.13640400213131
SSC affected	SSC unaffected	missense	1874	1138	484	1869	1231	499	0.658640984484	1173.26859504	57.73140495867756	3.088892721170549	-6.989608811883431	12.13433784375791	0.264	0.6743157759904014	0.25005528817033673	4.689797315895821	-10.914805624483046	18.052801645002575
AGRE affected	SSC unaffected	synonymous	1874	484	484	1107	309	309	0.279132791328	309.0	0.0	0.0	0.0	0.0	1.0	nan	nan	0.0	0.0	0.0
AGRE affected	SSC unaffected	LGD	1874	157	484	1107	116	309	0.104787714544	100.233471074	15.766528925619838	1.4242573555212137	-1.25314761194294	4.154608501284148	0.143	1.0640058945410242	0.1436630146307139	13.591835280706755	-13.418886874041014	35.08091544575314
AGRE affected	SSC unaffected	nonsense	1874	54	484	1107	52	309	0.0469738030714	34.4752066116	17.52479338842975	1.5830888336431572	-0.04538767333395907	3.2242424242424246	0.018	2.1695275946235393	0.015021325852029126	33.70152574698029	-1.3918886489080782	57.160470764057536
AGRE affected	SSC unaffected	splice-site	1874	26	484	1107	18	309	0.0162601626016	16.5991735537	1.4008264462809912	0.1265425877399269	-0.8132132821012791	1.1785830514118778	0.393	0.28796186571072363	0.3866879647686698	7.7823691460055056	-80.44171220400729	52.74760046408606
AGRE affected	SSC unaffected	frame-shift	1874	77	484	1107	46	309	0.0415537488708	49.1590909091	-3.1590909090909065	-0.28537406586187053	-2.041601395966767	1.32120253164557	0.657	-0.3843245551435807	0.6496310447324937	-6.867588932806319	-62.88333333333334	26.67347981604497
AGRE affected	SSC unaffected	missense	1874	1138	484	1107	728	309	0.657633242999	726.533057851	1.4669421487602676	0.13251509925567007	-11.558692810457513	10.844991403492903	0.5	0.023839822082691395	0.4904901878190376	0.20150304241212466	-18.230915194862064	15.847865456330283
SSC affected	AGRE affected	synonymous	1107	309	309	1869	499	499	0.266987693954	499.0	0.0	0.0	0.0	0.0	1.0	nan	nan	0.0	0.0	0.0
SSC affected	AGRE affected	LGD	1107	116	309	1869	283	499	0.151417870519	187.326860841	95.67313915857605	5.118948055568542	2.1980652835863324	8.031056945746496	0.0	3.011692210222202	0.0012989793471883907	33.806762953560444	14.957219251336898	49.714024250743535
SSC affected	AGRE affected	nonsense	1107	52	309	1869	100	499	0.0535045478866	83.9741100324	16.02588996763754	0.8574579971983702	-0.9113762702262506	2.700478290577055	0.177	0.9377906802820518	0.1741759957467114	16.02588996763754	-19.268160950580622	45.239856162811456
SSC affected	AGRE affected	splice-site	1107	18	309	1869	55	499	0.0294275013376	29.067961165	25.932038834951456	1.3874820136410624	0.32038474711725107	2.489150019584802	0.009	2.1371914174239395	0.01629121291059448	47.14916151809355	12.110726643598603	72.52804865261612
SSC affected	AGRE affected	frame-shift	1107	46	309	1869	128	499	0.0684858212948	74.284789644	53.715210355987054	2.8740080447291096	1.0926976249556897	4.6393701753071115	0.001	2.894469550274286	0.0018989987207717316	41.96500809061489	17.6461038961039	60.76044703595725
SSC affected	AGRE affected	missense	1107	728	309	1869	1231	499	0.658640984484	1175.63754045	55.36245954692549	2.9621433679467892	-8.845694329565294	12.310079615631333	0.33	0.5375463102650736	0.2954451525264863	4.497356583828228	-13.471602093235397	18.39664628018491
